Framework,VCPU,Concurrency,Metric,N,Mean,Median,Std,Min,Max,CI95_Low,CI95_High,Shapiro_p,UseMedian,OutliersRemoved
python,4,400,P50_ms,4,6375.0,5700.0,4116.9366,2100.0,12000.0,-175.9648,12925.9648,0.533357,False,1
python,4,400,P95_ms,5,118600.0,136000.0,51723.3023,51000.0,181000.0,54377.0377,182822.9623,0.777335,False,0
python,4,400,P99_ms,5,139200.0,138000.0,73325.9845,55000.0,251000.0,48153.7649,230246.2351,0.816932,False,0
python,4,400,ErrorRate,5,7.2834,7.8947,2.0067,4.2328,9.0119,4.7918,9.775,0.356021,False,0
python,4,400,TTA_ms,5,3016.1957,430.5583,4307.3648,67.2208,9918.9087,-2332.1041,8364.4956,0.062757,False,0
python,4,400,CPU_Usage,4,135.75,135.5,8.1803,126.0,146.0,122.7334,148.7666,0.804369,False,1
python,4,400,RAM_MB,5,5616.8,5865.0,818.4865,4291.0,6444.0,4600.5147,6633.0853,0.462337,False,0
python,4,450,RPS,5,8.8608,5.8303,5.9971,3.9248,16.7063,1.4144,16.3072,0.122265,False,0
python,4,450,P50_ms,3,4466.6667,4400.0,602.7714,3900.0,5100.0,2969.2996,5964.0338,0.816788,False,2
python,4,450,P95_ms,5,99000.0,104000.0,60257.7796,31000.0,170000.0,24180.0845,173819.9155,0.57657,False,0
python,4,450,P99_ms,5,116600.0,144000.0,71897.8442,33000.0,189000.0,27327.0353,205872.9647,0.229193,False,0
python,4,450,ErrorRate,5,4.821,4.8117,3.5322,0.1156,9.2,0.4351,9.2068,0.985199,False,0
python,4,450,TTA_ms,5,701.3254,292.801,804.852,11.784,1735.8545,-298.0303,1700.6812,0.136267,False,0
python,4,450,CPU_Usage,5,1355.8,134.0,1749.0579,111.0,3835.0,-815.9423,3527.5423,0.045787,True,0
python,4,450,RAM_MB,5,5012.6,6307.0,2591.5552,597.0,6974.0,1794.7592,8230.4408,0.06748,False,0
python,4,500,RPS,5,5.9308,4.7575,2.4105,3.8625,9.6918,2.9377,8.9238,0.263956,False,0
python,4,500,P50_ms,5,26380.0,29000.0,20494.6822,3300.0,49000.0,932.4909,51827.5091,0.41819,False,0
python,4,500,P95_ms,5,122400.0,116000.0,53993.5181,45000.0,192000.0,55358.1924,189441.8076,0.906661,False,0
python,4,500,P99_ms,5,128200.0,140000.0,54764.9523,46000.0,194000.0,60200.3304,196199.6696,0.864208,False,0
python,4,500,ErrorRate,5,3.9038,2.6995,3.2352,0.1269,7.461,-0.1133,7.9209,0.323655,False,0
python,4,500,TTA_ms,5,39.4872,14.557,47.8007,0.0,92.3269,-19.8653,98.8396,0.035052,True,0
python,4,500,CPU_Usage,5,2632.0,2427.0,2790.081,259.0,7054.0,-832.3431,6096.3431,0.282817,False,0
python,4,500,RAM_MB,5,6036.6,6292.0,952.5394,4502.0,7035.0,4853.8661,7219.3339,0.518087,False,0
